DiseaseID,number
MESH:D004485,723
MESH:D004487,724
MESH:D004489,725
MESH:D004605,726
MESH:D004617,727
MESH:D004618,728
MESH:D004619,729
MESH:D004620,730
MESH:D004646,731
MESH:D004652,732
MESH:D004653,733
MESH:D004660,734
MESH:D004673,735
MESH:D004677,736
MESH:D004678,737
MESH:D004679,738
MESH:D004681,739
MESH:D004684,740
MESH:D004692,741
MESH:D004694,742
MESH:D004695,743
MESH:D004696,744
MESH:D004697,745
MESH:D004698,746
MESH:D004700,747
MESH:D004701,748
MESH:D004714,749
MESH:D004715,750
MESH:D004716,751
MESH:D004719,752
MESH:D004749,753
MESH:D004751,754
MESH:D004756,755
MESH:D004760,756
MESH:D004761,757
MESH:D004769,758
MESH:D004774,759
MESH:D004775,760
MESH:D004802,761
MESH:D004803,762
MESH:D004806,763
MESH:D004820,764
MESH:D004823,765
MESH:D004827,766
MESH:D004828,767
MESH:D004829,768
MESH:D004830,769
MESH:D004831,770
MESH:D004832,771
MESH:D004833,772
MESH:D004844,773
MESH:D004881,774
MESH:D004890,775
MESH:D004892,776
MESH:D004893,777
MESH:D004915,778
MESH:D004916,779
MESH:D004927,780
MESH:D004932,781
MESH:D004933,782
MESH:D004935,783
MESH:D004938,784
MESH:D004940,785
MESH:D004941,786
MESH:D004942,787
MESH:D004948,788
MESH:D005067,789
MESH:D005076,790
MESH:D005094,791
MESH:D005099,792
MESH:D005117,793
MESH:D005119,794
MESH:D005124,795
MESH:D005126,796
MESH:D005128,797
MESH:D005130,798
MESH:D005131,799
MESH:D005132,800
MESH:D005134,801
MESH:D005141,802
MESH:D005142,803
MESH:D005146,804
MESH:D005148,805
MESH:D005151,806
MESH:D005155,807
MESH:D005156,808
MESH:D005157,809
MESH:D005158,810
MESH:D005162,811
MESH:D005183,812
MESH:D005185,813
MESH:D005198,814
MESH:D005199,815
MESH:D005203,816
MESH:D005207,817
MESH:D005208,818
MESH:D005211,819
MESH:D005221,820
MESH:D005234,821
MESH:D005235,822
MESH:D005242,823
MESH:D005244,824
MESH:D005258,825
MESH:D005262,826
MESH:D005264,827
MESH:D005271,828
MESH:D005311,829
MESH:D005313,830
MESH:D005315,831
MESH:D005316,832
MESH:D005317,833
MESH:D005322,834
MESH:D005327,835
MESH:D005329,836
MESH:D005334,837
MESH:D005335,838
MESH:D005348,839
MESH:D005350,840
MESH:D005352,841
MESH:D005354,842
MESH:D005355,843
MESH:D005356,844
MESH:D005357,845
MESH:D005368,846
MESH:D005383,847
MESH:D005391,848
MESH:D005393,849
MESH:D005401,850
MESH:D005402,851
MESH:D005414,852
MESH:D005483,853
MESH:D005494,854
MESH:D005497,855
MESH:D005499,856
MESH:D005512,857
MESH:D005517,858
MESH:D005530,859
MESH:D005532,860
MESH:D005533,861
MESH:D005534,862
MESH:D005549,863
MESH:D005596,864
MESH:D005600,865
MESH:D005621,866
MESH:D005627,867
MESH:D005667,868
MESH:D005683,869
MESH:D005687,870
MESH:D005693,871
MESH:D005705,872
MESH:D005706,873
MESH:D005715,874
MESH:D005734,875
MESH:D005739,876
MESH:D005747,877
MESH:D005756,878
MESH:D005759,879
MESH:D005761,880
MESH:D005764,881
MESH:D005767,882
MESH:D005770,883
MESH:D005776,884
MESH:D005831,885
MESH:D005832,886
MESH:D005833,887
MESH:D005834,888
MESH:D005862,889
MESH:D005871,890
MESH:D005873,891
MESH:D005879,892
MESH:D005882,893
